ASSET_PATH ..\\..\\shared\\assets\\
FONT_FILENAME cour.ttf
FONT_SIZE 20
WALL_FILENAME wall.png
HEAD_FILENAME snakeHead.png
BODY_FILENAME snakeBody.png
BACKGROUND_FILENAME background.png
FOOD_FILENAME foodSprite.png
FOOD_ROW 1
FOOD_COL 2
BONUS_FILENAME bonusSprite.png
BONUS_ROW 1
BONUS_COL 2
FAST_FILENAME fastSprite.png
FAST_ROW 1
FAST_COL 4
SLOW_FILENAME slowSprite.png
SLOW_ROW 1
SLOW_COL 3
DISPLAY_WIDTH 600
DISPLAY_HEIGHT 600
DESIRED_FPS 60
SPRITE_SIZE 30
NUM_WALLS 3
W1_X 300 
W1_Y 210
W2_X 90 
W2_Y 450
W3_X 510 
W3_Y 450
SPEED 20
SEGMENTS 2
TARGET 10
FOOD_SCORE 15
POWER_FREQ 600
FAST_VALUE 5
SLOW_VALUE 5
BONUS_VALUE 120
